Tanggal,Menit,Jam,Arus (A),Tegangan (V),Intensitas,Daya (W)
17,70,14:05,0.3,19.2,614.7,5.76
17,75,14:10,0.25,19.3,624.7,4.825
17,80,14:15,0.3,19.2,608.4,5.76
17,85,14:20,0.3,19.2,634,5.76
17,90,14:25,0.3,18.7,410.1,5.61
17,95,14:30,0.31,18.5,266.8,5.735
17,100,14:35,0.31,18.2,216.5,5.642
17,105,14:40,0.3,11,99.8,3.3
17,110,14:45,0.28,10.9,90.9,3.052
17,115,14:50,0.3,11.1,93.9,3.33
17,120,14:55,0.23,10.3,77.7,2.369
